cab-cap-w,"East West Furniture CAB-CAP-W Capri Kitchen Bench with Wood Seat, 51x15x18 Inch, Cappuccino"
1ndab3-lwh-64,"East West Furniture 1NDAB3-LWH-64 3 Piece Kitchen Table Set Contains a Rectangle Dining Room Table with Dropleaf and 2 White Faux Leather Parsons Dining Chairs, 30x48 Inch, Linen White"
1ndab3-mah-18,"East West Furniture 1NDAB3-MAH-18 3 Piece Kitchen Table Set Contains a Rectangle Dining Room Table with Dropleaf and 2 Coffee Linen Fabric Parson Dining Chairs, 30x48 Inch, Mahogany"
1ndab3-mah-72,"East West Furniture 1NDAB3-MAH-72 3 Piece Dining Set Contains a Rectangle Dining Room Table with Dropleaf and 2 Firebrick Red Faux Leather Upholstered Chairs, 30x48 Inch, Mahogany"
1ndab3-oak-04,"East West Furniture 1NDAB3-OAK-04 3 Piece Kitchen Table Set Contains a Rectangle Dining Table with Dropleaf and 2 Light Tan Linen Fabric Parson Dining Room Chairs, 30x48 Inch, Oak"
1ndab5-lwh-02,"East West Furniture 1NDAB5-LWH-02 5 Piece Modern Dining Table Set Includes a Rectangle Wooden Table with Dropleaf and 4 Light Beige Linen Fabric Upholstered Chairs, 30x48 Inch, Linen White"
1ndab5-lwh-64,"East West Furniture 1NDAB5-LWH-64 5 Piece Dinette Set for 4 Includes a Rectangle Dining Room Table with Dropleaf and 4 White Faux Leather Parson Dining Chairs, 30x48 Inch, Linen White"
1ndab5-mah-72,"East West Furniture 1NDAB5-MAH-72 5 Piece Dining Table Set Includes a Rectangle Kitchen Table with Dropleaf and 4 Firebrick Red Faux Leather Upholstered Chairs, 30x48 Inch, Mahogany"
1ndab5-oak-04,"East West Furniture 1NDAB5-OAK-04 5 Piece Dining Set Includes a Rectangle Dining Room Table with Dropleaf and 4 Light Tan Linen Fabric Upholstered Parson Chairs, 30x48 Inch, Oak"
1ndbr3-lwh-02,"East West Furniture 1NDBR3-LWH-02 3 Piece Dining Set for Small Spaces Contains a Rectangle Dining Table with Dropleaf and 2 Light Beige Linen Fabric Parson Chairs, 30x48 Inch, Linen White"
1ndbr5-lwh-02,"East West Furniture 1NDBR5-LWH-02 5 Piece Dining Set Includes a Rectangle Dining Room Table with Dropleaf and 4 Light Beige Linen Fabric Upholstered Chairs, 30x48 Inch, Linen White"
1ndce3-mah-10,"East West Furniture 1NDCE3-MAH-10 3 Piece Modern Dining Table Set Contains a Rectangle Wooden Table with Dropleaf and 2 Dahlia Linen Fabric Parson Dining Chairs, 30x48 Inch, Mahogany"
1ndce5-lwh-15,"East West Furniture 1NDCE5-LWH-15 5 Piece Dining Table Set Includes a Rectangle Kitchen Table with Dropleaf and 4 Baby Blue Linen Fabric Upholstered Chairs, 30x48 Inch, Linen White"
1ndce5-mah-10,"East West Furniture 1NDCE5-MAH-10 5 Piece Dining Room Table Set Includes a Rectangle Kitchen Table with Dropleaf and 4 Dahlia Linen Fabric Parsons Dining Chairs, 30x48 Inch, Mahogany"
1nden3-lwh-06,"East West Furniture 1NDEN3-LWH-06 3 Piece Dining Table Set Contains a Rectangle Dinner Table with Dropleaf and 2 Dark Shitake Linen Fabric Upholstered Chairs, 30x48 Inch, Linen White"
1nden5-lwh-06,"East West Furniture 1NDEN5-LWH-06 5 Piece Dining Table Set for 4 Includes a Rectangle Kitchen Table with Dropleaf and 4 Dark Shitake Linen Fabric Upholstered Chairs, 30x48 Inch, Linen White"
abp0t15,"East West Furniture ABP0T15 Abbott Parson Dining Chairs - Baby Blue Linen Fabric Upholstered Chairs, Set of 2, Linen White"
abp1t06,"East West Furniture ABP1T06 Abbott Parson Dining Room Chairs - Shitake Linen Fabric Upholstered Chairs, Set of 2, Black"
abp1t61,"East West Furniture ABP1T61 Abbott Parson Dining Chairs - Baked Bean Faux Leather Upholstered Chairs, Set of 2, Black"
abp1t73,"East West Furniture ABP1T73 Abbott Parson Dining Room Chairs - Eggnog Faux Leather Upholstered Chairs, Set of 2, Black"
abp2t02,"East West Furniture ABP2T02 Abbott Parson Dining Room Chairs - Light Beige Linen Fabric Upholstered Chairs, Set of 2, Linen White"
abp2t64,"East West Furniture ABP2T64 Abbott Classic Parson Dining Chairs - White Faux Leather Upholstered Chairs, Set of 2, Linen White"
abp3t18,"East West Furniture ABP3T18 Abbott Parson Dining Chairs - Coffee Linen Fabric Padded Chairs, Set of 2, Mahogany"
abp3t72,"East West Furniture ABP3T72 Abbott Parsons Dining Chairs - Firebrick Red Faux Leather Padded Chairs, Set of 2, Mahogany"
abp4t04,"East West Furniture ABP4T04 Abbott Parson Dining Chairs - Light Tan Linen Fabric Padded Dinette Chairs, Set of 2, Oak"
abp4t55,"East West Furniture ABP4T55 Abbott Parson Kitchen Chairs - Oasis Blue Faux Leather Padded Dining Chairs, Set of 2, Oak"
abp7t47,"East West Furniture ABP7T47 Abbott Parson Kitchen Chairs - Light Sable Linen Fabric Padded Dining Chairs, Set of 2, Jacobean"
abp8t05,"East West Furniture ABP8T05 Abbott Parson Chairs - Grey Linen Fabric Padded Dining Chairs, Set of 2, Walnut"
abpnt35,"East West Furniture ABPNT35 Abbott Classic Parson Chairs - Doeskin Linen Fabric Padded Dining Chairs, Set of 2, Natural"
adc-lwh-lc,"East West Furniture ADC-LWH-LC Andi Dining Chairs - Faux Leather Upholstered Dinette Chairs, Set of 2, Linen White"
amab3-awa-05,"East West Furniture AMAB3-AWA-05 3 Piece Kitchen Table Set for Small Spaces Contains a Round Dining Room Table with Pedestal and 2 Grey Linen Fabric Parsons Chairs, 36x36 Inch, Walnut"
amab3-lwh-02,"East West Furniture AMAB3-LWH-02 3 Piece Dining Room Furniture Set Contains a Round Dining Table with Pedestal and 2 Light Beige Linen Fabric Upholstered Chairs, 36x36 Inch, Linen White"
amab3-lwh-64,"East West Furniture AMAB3-LWH-64 3 Piece Dining Room Furniture Set Contains a Round Kitchen Table with Pedestal and 2 White Faux Leather Parsons Dining Chairs, 36x36 Inch, Linen White"
amab3-mah-18,"East West Furniture AMAB3-MAH-18 3 Piece Kitchen Table Set for Small Spaces Contains a Round Dining Table with Pedestal and 2 Coffee Linen Fabric Upholstered Chairs, 36x36 Inch, Mahogany"
amab3-mah-72,"East West Furniture AMAB3-MAH-72 3 Piece Dining Table Set Contains a Round Dining Room Table with Pedestal and 2 Firebrick Red Faux Leather Parsons Dinette Chairs, 36x36 Inch, Mahogany"
amab3-oak-04,"East West Furniture AMAB3-OAK-04 3 Piece Dining Set Contains a Round Kitchen Table with Pedestal and 2 Light Tan Linen Fabric Parson Dining Room Chairs, 36x36 Inch, Oak"
amab3-oak-55,"East West Furniture AMAB3-OAK-55 3 Piece Kitchen Table & Chairs Set Contains a Round Dining Room Table with Pedestal and 2 Oasis Blue Faux Leather Parsons Chairs, 36x36 Inch, Oak"
amad3-lwh-lc,"East West Furniture AMAD3-LWH-LC 3 Piece Dining Room Furniture Set Contains a Round Kitchen Table with Pedestal and 2 Faux Leather Upholstered Dining Chairs, 36x36 Inch, Linen White"
aman3-oak-c,"East West Furniture AMAN3-OAK-C 3 Piece Modern Dining Table Set Contains a Round Kitchen Table with Pedestal and 2 Linen Fabric Dining Room Chairs, 36x36 Inch, Oak"
aman3-oak-w,"East West Furniture AMAN3-OAK-W 3 Piece Dining Room Furniture Set Contains a Round Dining Table with Pedestal and 2 Wood Seat Chairs, 36x36 Inch, Oak"
amav3-lwh-w,"East West Furniture AMAV3-LWH-W 3 Piece Modern Dining Table Set Contains a Round Kitchen Table with Pedestal and 2 Kitchen Dining Chairs, 36x36 Inch, Linen White"
amav3-oak-c,"East West Furniture AMAV3-OAK-C 3 Piece Dining Room Furniture Set Contains a Round Dining Table with Pedestal and 2 Linen Fabric Upholstered Chairs, 36x36 Inch, Oak"
amav3-oak-w,"East West Furniture AMAV3-OAK-W 3 Piece Dining Set Contains a Round Kitchen Table with Pedestal and 2 Dining Room Chairs, 36x36 Inch, Oak"
amba3-lwh-01,"East West Furniture AMBA3-LWH-01 3 Piece Modern Dining Table Set Contains a Round Kitchen Table with Pedestal and 2 Cream Linen Fabric Upholstered Parson Chairs, 36x36 Inch, Linen White"
amba3-mah-18,"East West Furniture AMBA3-MAH-18 3 Piece Modern Dining Table Set Contains a Round Kitchen Table with Pedestal and 2 Brown Linen Linen Fabric Parson Dining Chairs, 36x36 Inch, Mahogany"
amba3-oak-02,"East West Furniture AMBA3-OAK-02 3 Piece Dining Room Table Set  Contains a Round Kitchen Table with Pedestal and 2 Light Beige Linen Fabric Parson Dining Chairs, 36x36 Inch, Oak"
ambo3-lwh-c,"East West Furniture AMBO3-LWH-C 3 Piece Modern Dining Table Set Contains a Round Kitchen Table with Pedestal and 2 Linen Fabric Upholstered Dining Chairs, 36x36 Inch, Linen White"
ambo3-lwh-w,"East West Furniture AMBO3-LWH-W 3 Piece Kitchen Table & Chairs Set Contains a Round Dining Room Table with Pedestal and 2 Solid Wood Seat Chairs, 36x36 Inch, Linen White"
ambo3-mah-w,"East West Furniture AMBO3-MAH-W 3 Piece Dinette Set for Small Spaces Contains a Round Kitchen Table with Pedestal and 2 Dining Room Chairs, 36x36 Inch, Mahogany"
ambo3-oak-w,"East West Furniture AMBO3-OAK-W 3 Piece Kitchen Table & Chairs Set Contains a Round Dining Room Table with Pedestal and 2 Dining Chairs, 36x36 Inch, Oak"
amcl3-lwh-c,"East West Furniture AMCL3-LWH-C 3 Piece Kitchen Table & Chairs Set Contains a Round Dining Room Table with Pedestal and 2 Linen Fabric Dining Room Chairs, 36x36 Inch, Linen White"
amcl3-lwh-w,"East West Furniture AMCL3-LWH-W 3 Piece Dining Room Table Set  Contains a Round Kitchen Table with Pedestal and 2 Dining Chairs, 36x36 Inch, Linen White"
amcl3-mah-c,"East West Furniture AMCL3-MAH-C 3 Piece Dining Room Furniture Set Contains a Round Dining Table with Pedestal and 2 Linen Fabric Upholstered Chairs, 36x36 Inch, Mahogany"
amcl3-mah-w,"East West Furniture AMCL3-MAH-W 3 Piece Dining Room Table Set  Contains a Round Wooden Table with Pedestal and 2 Kitchen Dining Chairs, 36x36 Inch, Mahogany"
amda3-lwh-c,"East West Furniture AMDA3-LWH-C 3 Piece Dining Table Set for Small Spaces Contains a Round Kitchen Table with Pedestal and 2 Linen Fabric Upholstered Chairs, 36x36 Inch, Linen White"
amda3-lwh-w,"East West Furniture AMDA3-LWH-W 3 Piece Dinette Set for Small Spaces Contains a Round Kitchen Table with Pedestal and 2 Dining Chairs, 36x36 Inch, Linen White"
amda3-mah-c,"East West Furniture AMDA3-MAH-C 3 Piece Kitchen Table & Chairs Set Contains a Round Dining Room Table with Pedestal and 2 Linen Fabric Upholstered Chairs, 36x36 Inch, Mahogany"
amda3-mah-w,"East West Furniture AMDA3-MAH-W 3 Piece Dining Table Set for Small Spaces Contains a Round Kitchen Table with Pedestal and 2 Dining Chairs, 36x36 Inch, Mahogany"
amdr3-lwh-07,"East West Furniture AMDR3-LWH-07 3 Piece Dining Table Set for Small Spaces Contains a Round Kitchen Table with Pedestal and 2 Gray Linen Fabric Upholstered Chairs, 36x36 Inch, Linen White"
amdr3-mah-01,"East West Furniture AMDR3-MAH-01 3 Piece Dinette Set for Small Spaces Contains a Round Kitchen Table with Pedestal and 2 Cream Linen Fabric Parson Dining Chairs, 36x36 Inch, Mahogany"
amdr3-oak-16,"East West Furniture AMDR3-OAK-16 3 Piece Dining Room Table Set  Contains a Round Kitchen Table with Pedestal and 2 Dark Khaki Linen Fabric Parsons Dining Chairs, 36x36 Inch, Oak"
amdu3-mah-w,"East West Furniture AMDU3-MAH-W 3 Piece Dining Set Contains a Round Dining Room Table with Pedestal and 2 Wood Seat Chairs, 36x36 Inch, Mahogany"
amel3-abk-35,"East West Furniture AMEL3-ABK-35 3 Piece Kitchen Table & Chairs Set Contains a Round Dining Room Table with Pedestal and 2 Doeskin Linen Fabric Upholstered Chairs, 36x36 Inch, Wirebrushed Black"
amel3-awa-05,"East West Furniture AMEL3-AWA-05 3 Piece Dining Room Furniture Set Contains a Round Kitchen Table with Pedestal and 2 Grey Linen Fabric Parsons Dining Chairs, 36x36 Inch, Walnut"
amel3-lwh-07,"East West Furniture AMEL3-LWH-07 3 Piece Kitchen Table Set Contains a Round Dining Room Table with Pedestal and 2 Gray Linen Fabric Upholstered Chairs, 36x36 Inch, Linen White"
amel3-mah-16,"East West Furniture AMEL3-MAH-16 3 Piece Modern Dining Table Set Contains a Round Kitchen Table with Pedestal and 2 Dark Khaki Linen Fabric Upholstered Chairs, 36x36 Inch, Mahogany"
amen3-lwh-06,"East West Furniture AMEN3-LWH-06 3 Piece Dining Set Contains a Round Kitchen Table with Pedestal and 2 Dark Shitake Linen Fabric Parsons Dining Chairs, 36x36 Inch, Linen White"
amen3-mah-18,"East West Furniture AMEN3-MAH-18 3 Piece Modern Dining Table Set Contains a Round Kitchen Table with Pedestal and 2 Dark Coffee Linen Fabric Upholstered Chairs, 36x36 Inch, Mahogany"
amen3-mah-66,"East West Furniture AMEN3-MAH-66 3 Piece Dining Table Set for Small Spaces Contains a Round Kitchen Table with Pedestal and 2 Brown Faux Faux Leather Parson Chairs, 36x36 Inch, Mahogany"
amen3-oak-07,"East West Furniture AMEN3-OAK-07 3 Piece Kitchen Table Set Contains a Round Dining Room Table with Pedestal and 2 Limelight Linen Fabric Parson Dining Chairs, 36x36 Inch, Oak"
amen3-oak-51,"East West Furniture AMEN3-OAK-51 3 Piece Dining Set Contains a Round Dining Room Table with Pedestal and 2 Autumn Green Faux Leather Upholstered Parson Chairs, 36x36 Inch, Oak"
amga3-abk-50,"East West Furniture AMGA3-ABK-50 3 Piece Modern Dining Table Set Contains a Round Kitchen Table with Pedestal and 2 Dark Gotham Linen Fabric Upholstered Chairs, 36x36 Inch, Wirebrushed Black"
amga3-awa-03,"East West Furniture AMGA3-AWA-03 3 Piece Dining Table Set for Small Spaces Contains a Round Kitchen Table with Pedestal and 2 Brown Linen Fabric Parson Dining Chairs, 36x36 Inch, Walnut"
amga3-lwh-35,"East West Furniture AMGA3-LWH-35 3 Piece Kitchen Table Set Contains a Round Dining Table with Pedestal and 2 Doeskin Linen Fabric Parson Dining Room Chairs, 36x36 Inch, Linen White"
amga3-mah-32,"East West Furniture AMGA3-MAH-32 3 Piece Dining Set Contains a Round Kitchen Table with Pedestal and 2 Light Beige Linen Fabric Upholstered Parson Chairs, 36x36 Inch, Mahogany"
amgr3-lwh-w,"East West Furniture AMGR3-LWH-W 3 Piece Dinette Set for Small Spaces Contains a Round Kitchen Table with Pedestal and 2 Dining Room Chairs, 36x36 Inch, Linen White"
amgr3-mah-w,"East West Furniture AMGR3-MAH-W 3 Piece Dining Set Contains a Round Dining Room Table with Pedestal and 2 Wood Seat Chairs, 36x36 Inch, Mahogany"
amgr3-oak-w,"East West Furniture AMGR3-OAK-W 3 Piece Dining Table Set for Small Spaces Contains a Round Kitchen Table with Pedestal and 2 Dining Chairs, 36x36 Inch, Oak"
amip3-lwh-c,"East West Furniture AMIP3-LWH-C 3 Piece Dining Set Contains a Round Dining Room Table with Pedestal and 2 Linen Fabric Upholstered Chairs, 36x36 Inch, Linen White"
amip3-lwh-w,"East West Furniture AMIP3-LWH-W 3 Piece Dining Room Table Set  Contains a Round Kitchen Table with Pedestal and 2 Dining Chairs, 36x36 Inch, Linen White"
amip3-mah-c,"East West Furniture AMIP3-MAH-C 3 Piece Kitchen Table & Chairs Set Contains a Round Dining Room Table with Pedestal and 2 Linen Fabric Upholstered Chairs, 36x36 Inch, Mahogany"
amip3-mah-w,"East West Furniture AMIP3-MAH-W 3 Piece Dining Table Set for Small Spaces Contains a Round Kitchen Table with Pedestal and 2 Kitchen Dining Chairs, 36x36 Inch, Mahogany"
amke3-lwh-w,"East West Furniture AMKE3-LWH-W 3 Piece Dining Table Set for Small Spaces Contains a Round Kitchen Table with Pedestal and 2 Kitchen Dining Chairs, 36x36 Inch, Linen White"
amla3-awa-05,"East West Furniture AMLA3-AWA-05 3 Piece Kitchen Table & Chairs Set Contains a Round Dining Room Table with Pedestal and 2 Grey Linen Fabric Parson Dining Chairs, 36x36 Inch, Walnut"
amla3-lwh-06,"East West Furniture AMLA3-LWH-06 3 Piece Kitchen Table & Chairs Set Contains a Round Dining Room Table with Pedestal and 2 Shitake Linen Fabric Parsons Chairs, 36x36 Inch, Linen White"
amla3-mah-04,"East West Furniture AMLA3-MAH-04 3 Piece Dining Set Contains a Round Dining Room Table with Pedestal and 2 Light Tan Linen Fabric Upholstered Parson Chairs, 36x36 Inch, Mahogany"
amnf3-lwh-w,"East West Furniture AMNF3-LWH-W 3 Piece Dining Table Set for Small Spaces Contains a Round Kitchen Table with Pedestal and 2 Kitchen Dining Chairs, 36x36 Inch, Linen White"
amnf3-mah-c,"East West Furniture AMNF3-MAH-C 3 Piece Kitchen Table & Chairs Set Contains a Round Dining Room Table with Pedestal and 2 Linen Fabric Upholstered Chairs, 36x36 Inch, Mahogany"
amnf3-mah-w,"East West Furniture AMNF3-MAH-W 3 Piece Dinette Set for Small Spaces Contains a Round Kitchen Table with Pedestal and 2 Dining Chairs, 36x36 Inch, Mahogany"
amnf3-oak-c,"East West Furniture AMNF3-OAK-C 3 Piece Modern Dining Table Set Contains a Round Kitchen Table with Pedestal and 2 Linen Fabric Kitchen Dining Chairs, 36x36 Inch, Oak"
amnf3-oak-w,"East West Furniture AMNF3-OAK-W 3 Piece Dining Table Set for Small Spaces Contains a Round Kitchen Table with Pedestal and 2 Kitchen Dining Chairs, 36x36 Inch, Oak"
ampo3-oak-c,"East West Furniture AMPO3-OAK-C 3 Piece Dining Room Furniture Set Contains a Round Dining Table with Pedestal and 2 Linen Fabric Upholstered Chairs, 36x36 Inch, Oak"
ampo3-oak-w,"East West Furniture AMPO3-OAK-W 3 Piece Dining Room Furniture Set Contains a Round Dining Table with Pedestal and 2 Wood Seat Chairs, 36x36 Inch, Oak"
ams024-303,"East West Furniture SB024-19702 Amherst Counter-Height Barstool - Round Shape Mocha PU Leather Upholstered Backless Chairs, 24 inch Height, Mahogany"
ams024-416,"East West Furniture SB024-76703 Amherst Counter-Height Bar Stool - Round Shape Vegas Gold PU Leather Upholstered Backless Chairs, 24 inch Height, Oak"
amsi3-abk-48,"East West Furniture AMSI3-ABK-48 3 Piece Modern Dining Table Set Contains a Round Kitchen Table with Pedestal and 2 Coffee Linen Fabric Parsons Dining Chairs, 36x36 Inch, Wirebrushed Black"
amsi3-awa-04,"East West Furniture AMSI3-AWA-04 3 Piece Dining Table Set for Small Spaces Contains a Round Kitchen Table with Pedestal and 2 Light Tan Linen Fabric Parson Chairs, 36x36 Inch, Walnut"
amsi3-lwh-15,"East West Furniture AMSI3-LWH-15 3 Piece Dining Table Set for Small Spaces Contains a Round Kitchen Table with Pedestal and 2 Baby Blue Linen Fabric Parsons Chairs, 36x36 Inch, Linen White"
amsi3-mah-35,"East West Furniture AMSI3-MAH-35 3 Piece Dining Room Table Set  Contains a Round Kitchen Table with Pedestal and 2 Doeskin Linen Fabric Parson Dining Chairs, 36x36 Inch, Mahogany"
amt-abk-tp,"East West Furniture AMT-ABK-TP Antique Dining Table - a Round Wooden Table Top with Pedestal Base, 36x36 Inch, Wirebrushed Black"
amt-ana-tp,"East West Furniture AMT-ANA-TP Antique Dining Room Table - a Round kitchen Table Top with Pedestal Base, 36x36 Inch, Natural"
amt-awa-tp,"East West Furniture AMT-AWA-TP Antique Kitchen Table - a Round Dining Table Top with Pedestal Base, 36x36 Inch, Walnut"
amt-lwh-tp,"East West Furniture AMT-LWH-TP Antique Modern Dining Table - a Round Kitchen Table Top with Pedestal Base, 36x36 Inch, Linen White"
amt-mah-tp,"East West Furniture AMT-MAH-TP Antique Dining Room Table - a Round kitchen Table Top with Pedestal Base, 36x36 Inch, Mahogany"
amt-nbk-tp,"East West Furniture AMT-NBK-TP Antique Mid-Century Modern Dining Table - a Round Dining Table Top with Pedestal Base, 36x36 Inch, Natural & Black"
amt-nlw-tp,"East West Furniture AMT-NLW-TP Antique Dining Table - a Round Wooden Table Top with Pedestal Base, 36x36 Inch, Oak & Black"
amt-oak-tp,"East West Furniture AMT-OAK-TP Antique Kitchen Dining Table - a Round Wooden Table Top with Pedestal Base, 36x36 Inch, Oak"
amt-wbk-tp,"East West Furniture AMT-WBK-TP Antique Dining Table - a Round Wooden Table Top with Pedestal Base, 36x36 Inch, Oak & Black"
amt-wlw-tp,"East West Furniture AMT-WLW-TP Antique Kitchen Dining Table - a Round Wooden Table Top with Pedestal Base, 36x36 Inch, Walnut & Linen White"
amva3-blk-c,"East West Furniture AMVA3-BLK-C 3 Piece Dining Room Furniture Set Contains a Round Dining Table with Pedestal and 2 Linen Fabric Upholstered Chairs, 36x36 Inch, Black"
amva3-blk-w,"East West Furniture AMVA3-BLK-W 3 Piece Dining Table Set for Small Spaces Contains a Round Kitchen Table with Pedestal and 2 Dining Chairs, 36x36 Inch, Black"
amva3-lwh-c,"East West Furniture AMVA3-LWH-C 3 Piece Dining Set Contains a Round Kitchen Table with Pedestal and 2 Linen Fabric Dining Room Chairs, 36x36 Inch, Linen White"
amva3-lwh-w,"East West Furniture AMVA3-LWH-W 3 Piece Kitchen Table Set for Small Spaces Contains a Round Dining Room Table with Pedestal and 2 Dining Chairs, 36x36 Inch, Linen White"
amva3-oak-c,"East West Furniture AMVA3-OAK-C 3 Piece Dining Room Table Set  Contains a Round Wooden Table with Pedestal and 2 Linen Fabric Kitchen Dining Chairs, 36x36 Inch, Oak"
amva3-oak-w,"East West Furniture AMVA3-OAK-W 3 Piece Modern Dining Table Set Contains a Round Kitchen Table with Pedestal and 2 Dining Chairs, 36x36 Inch, Oak"
amva5-blk-c,"East West Furniture AMVA5-BLK-C 5 Piece Dining Set Includes a Round Kitchen Table with Pedestal and 4 Linen Fabric Upholstered Dining Chairs, 36x36 Inch, Black"
amva5-blk-w,"East West Furniture AMVA5-BLK-W 5 Piece Modern Dining Table Set Includes a Round Kitchen Table with Pedestal and 4 Kitchen Dining Chairs, 36x36 Inch, Black"
amva5-lwh-c,"East West Furniture AMVA5-LWH-C 5 Piece Modern Dining Table Set Includes a Round Kitchen Table with Pedestal and 4 Linen Fabric Dining Room Chairs, 36x36 Inch, Linen White"
amva5-lwh-w,"East West Furniture AMVA5-LWH-W 5 Piece Kitchen Table & Chairs Set Includes a Round Dining Room Table with Pedestal and 4 Dining Chairs, 36x36 Inch, Linen White"
anab3-lwh-02,"East West Furniture ANAB3-LWH-02 3 Piece Dinette Set for Small Spaces Contains a Round Kitchen Table with Pedestal and 2 Light Beige Linen Fabric Parson Chairs, 36x36 Inch, Linen White"
anab3-lwh-64,"East West Furniture ANAB3-LWH-64 3 Piece Modern Dining Table Set Contains a Round Kitchen Table with Pedestal and 2 White Faux Leather Upholstered Chairs, 36x36 Inch, Linen White"
anab3-mah-18,"East West Furniture ANAB3-MAH-18 3 Piece Modern Dining Table Set Contains a Round Kitchen Table with Pedestal and 2 Coffee Linen Fabric Parson Dining Chairs, 36x36 Inch, Mahogany"
anab3-mah-72,"East West Furniture ANAB3-MAH-72 3 Piece Dinette Set for Small Spaces Contains a Round Kitchen Table with Pedestal and 2 Firebrick Red Faux Leather Parsons Chairs, 36x36 Inch, Mahogany"
anab3-oak-04,"East West Furniture ANAB3-OAK-04 3 Piece Dinette Set for Small Spaces Contains a Round Dining Table with Pedestal and 2 Light Tan Linen Fabric Upholstered Chairs, 36x36 Inch, Oak"
anab3-oak-55,"East West Furniture ANAB3-OAK-55 3 Piece Kitchen Table & Chairs Set Contains a Round Dining Room Table with Pedestal and 2 Oasis Blue Faux Leather Parsons Chairs, 36x36 Inch, Oak"
anab5-lwh-02,"East West Furniture ANAB5-LWH-02 5 Piece Dining Table Set for 4 Includes a Round Kitchen Table with Pedestal and 4 Light Beige Linen Fabric Upholstered Chairs, 36x36 Inch, Linen White"
anab5-lwh-64,"East West Furniture ANAB5-LWH-64 5 Piece Dining Room Table Set Includes a Round Kitchen Table with Pedestal and 4 White Faux Leather Upholstered Parson Chairs, 36x36 Inch, Linen White"
anab5-mah-18,"East West Furniture ANAB5-MAH-18 5 Piece Dining Table Set for 4 Includes a Round Kitchen Table with Pedestal and 4 Coffee Linen Fabric Upholstered Chairs, 36x36 Inch, Mahogany"
